package_name,sha256,apk_name,size,year,apk_path,app_output_dir,contain_ad,is_downloaded,is_tested,issue,sensor_test_done,timestamp,device_serial
,a1f54435a67c6b05b998758e94ad5c174be843fc01cd8cdf6b166d6d95cbde51,A1F54435A67C6B05B998758E94AD5C174BE843FC01CD8CDF6B166D6D95CBDE51.apk,5982420.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\A1F54435A67C6B05B998758E94AD5C174BE843FC01CD8CDF6B166D6D95CBDE51.apk,E:\\test\\output/A1F54435A67C6B05B998758E94AD5C174BE843FC01CD8CDF6B166D6D95CBDE51.apk,,1.0,0.0,,,2025-10-15 05:18:46,13.209.173.201:44055
,8c0dd9e16dd7343ceb03934a6b561cbbcee4e5e3bcb8b6690c7f39f3b64128dd,8C0DD9E16DD7343CEB03934A6B561CBBCEE4E5E3BCB8B6690C7F39F3B64128DD.apk,5123769.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\8C0DD9E16DD7343CEB03934A6B561CBBCEE4E5E3BCB8B6690C7F39F3B64128DD.apk,E:\\test\\output/8C0DD9E16DD7343CEB03934A6B561CBBCEE4E5E3BCB8B6690C7F39F3B64128DD.apk,,1.0,0.0,,,2025-10-15 05:18:48,13.209.173.201:44055
,8bda43babc233c5cb318007340555fb011d99bc429119810b818e1a6506f908f,8BDA43BABC233C5CB318007340555FB011D99BC429119810B818E1A6506F908F.apk,17631478.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\8BDA43BABC233C5CB318007340555FB011D99BC429119810B818E1A6506F908F.apk,E:\\test\\output/8BDA43BABC233C5CB318007340555FB011D99BC429119810B818E1A6506F908F.apk,,1.0,0.0,,,2025-10-15 05:18:50,13.209.173.201:44055
,8baa40016d0ced1b0a94bf16bc09a51941ecc3c904ca7a012ebd718537f6a939,8BAA40016D0CED1B0A94BF16BC09A51941ECC3C904CA7A012EBD718537F6A939.apk,22260992.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\8BAA40016D0CED1B0A94BF16BC09A51941ECC3C904CA7A012EBD718537F6A939.apk,E:\\test\\output/8BAA40016D0CED1B0A94BF16BC09A51941ECC3C904CA7A012EBD718537F6A939.apk,,1.0,0.0,,,2025-10-15 05:18:50,13.209.173.201:44055
,8b9e00ffd6cb9aac763c31d2872d5374295cb6e44dd25b91b3f5621ff66a1be0,8B9E00FFD6CB9AAC763C31D2872D5374295CB6E44DD25B91B3F5621FF66A1BE0.apk,24740110.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\8B9E00FFD6CB9AAC763C31D2872D5374295CB6E44DD25B91B3F5621FF66A1BE0.apk,E:\\test\\output/8B9E00FFD6CB9AAC763C31D2872D5374295CB6E44DD25B91B3F5621FF66A1BE0.apk,,1.0,0.0,,,2025-10-15 05:18:50,13.209.173.201:44055
,8b77e466983842999c7ec6bf3e14cc73d7878a4b61630aaaa08e8f5ee39d3023,8B77E466983842999C7EC6BF3E14CC73D7878A4B61630AAAA08E8F5EE39D3023.apk,35073767.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\8B77E466983842999C7EC6BF3E14CC73D7878A4B61630AAAA08E8F5EE39D3023.apk,E:\\test\\output/8B77E466983842999C7EC6BF3E14CC73D7878A4B61630AAAA08E8F5EE39D3023.apk,,1.0,0.0,,,2025-10-15 05:18:51,13.209.173.201:44055
,8ac3570089320f8143a62d4adb73d4784a23586d90b3ea37962cc8261addf773,8AC3570089320F8143A62D4ADB73D4784A23586D90B3EA37962CC8261ADDF773.apk,11238797.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\8AC3570089320F8143A62D4ADB73D4784A23586D90B3EA37962CC8261ADDF773.apk,E:\\test\\output/8AC3570089320F8143A62D4ADB73D4784A23586D90B3EA37962CC8261ADDF773.apk,,1.0,0.0,,,2025-10-15 05:18:52,13.209.173.201:44055
,8a3f7e568f49fdd14fa11410afdab3d394b4a3cdfe2873a530bc71ca0efe14cd,8A3F7E568F49FDD14FA11410AFDAB3D394B4A3CDFE2873A530BC71CA0EFE14CD.apk,30654568.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\8A3F7E568F49FDD14FA11410AFDAB3D394B4A3CDFE2873A530BC71CA0EFE14CD.apk,E:\\test\\output/8A3F7E568F49FDD14FA11410AFDAB3D394B4A3CDFE2873A530BC71CA0EFE14CD.apk,,1.0,0.0,,,2025-10-15 05:18:53,13.209.173.201:44055
,89ec88ffc8e635c554de5d58b70b7153147fe229695586aa9b36c6c9f229e99e,89EC88FFC8E635C554DE5D58B70B7153147FE229695586AA9B36C6C9F229E99E.apk,49007022.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\89EC88FFC8E635C554DE5D58B70B7153147FE229695586AA9B36C6C9F229E99E.apk,E:\\test\\output/89EC88FFC8E635C554DE5D58B70B7153147FE229695586AA9B36C6C9F229E99E.apk,,1.0,0.0,,,2025-10-15 05:18:54,13.209.173.201:44055
,8982ad36d755bdf0c1d1690d7ced9b7a9b92b057ec1d8b662280f87c1800a742,8982AD36D755BDF0C1D1690D7CED9B7A9B92B057EC1D8B662280F87C1800A742.apk,20072598.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\8982AD36D755BDF0C1D1690D7CED9B7A9B92B057EC1D8B662280F87C1800A742.apk,E:\\test\\output/8982AD36D755BDF0C1D1690D7CED9B7A9B92B057EC1D8B662280F87C1800A742.apk,,1.0,0.0,,,2025-10-15 05:18:55,13.209.173.201:44055
,894a5a8b7f53f04344ceedfc4115cf3edbf5d85bc94f03e3867a7e635a7687f0,894A5A8B7F53F04344CEEDFC4115CF3EDBF5D85BC94F03E3867A7E635A7687F0.apk,40097859.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\894A5A8B7F53F04344CEEDFC4115CF3EDBF5D85BC94F03E3867A7E635A7687F0.apk,E:\\test\\output/894A5A8B7F53F04344CEEDFC4115CF3EDBF5D85BC94F03E3867A7E635A7687F0.apk,,1.0,0.0,,,2025-10-15 05:18:56,13.209.173.201:44055
,88e79dcaa5b00d6ca443cd51f728ed3a82d5f243f251350e47b51b4d4c1fb264,88E79DCAA5B00D6CA443CD51F728ED3A82D5F243F251350E47B51B4D4C1FB264.apk,25354807.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\88E79DCAA5B00D6CA443CD51F728ED3A82D5F243F251350E47B51B4D4C1FB264.apk,E:\\test\\output/88E79DCAA5B00D6CA443CD51F728ED3A82D5F243F251350E47B51B4D4C1FB264.apk,,1.0,0.0,,,2025-10-15 05:18:57,13.209.173.201:44055
,88cc96b168ccf9e3e775080341748166a8d897630b2ff0403c1073c226c64300,88CC96B168CCF9E3E775080341748166A8D897630B2FF0403C1073C226C64300.apk,49437504.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\88CC96B168CCF9E3E775080341748166A8D897630B2FF0403C1073C226C64300.apk,E:\\test\\output/88CC96B168CCF9E3E775080341748166A8D897630B2FF0403C1073C226C64300.apk,,1.0,0.0,,,2025-10-15 05:18:58,13.209.173.201:44055
,88765731c580f5bc48eae97653cd73c1866743580fc459692fc2f6c84079c6aa,88765731C580F5BC48EAE97653CD73C1866743580FC459692FC2F6C84079C6AA.apk,11320799.0,,D:\NKU\Work\Work2\datasets\androzoo\androzoo_apks\88765731C580F5BC48EAE97653CD73C1866743580FC459692FC2F6C84079C6AA.apk,E:\\test\\output/88765731C580F5BC48EAE97653CD73C1866743580FC459692FC2F6C84079C6AA.apk,,1.0,0.0,,,2025-10-15 05:18:59,13.209.173.201:44055
