app_name,has_ad,type2_detected,type2_features,type3_detected,type3_features,type4_detected,type4_features,type5_detected,type5_features,type6_detected,type6_features,analysis_date
29D3802638C103DC4EC3AB12A151E24D35E8F81590E7C9FE261481ED90A77FCB.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
2C3F39F4C03E89A5DCFC4F0CFAA24FD338856ED1A18D3E767C71ECDCD6739A6A.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
2DD72B7F706D1A0CC1D87967F9EDF11A5CA8BD8414F6FBA2C441FA4170D2DA9E.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
3654A94DB79AE70B6BA594CB4E667046A8C9F4DB9A9DC9AAD93CD54CFA2AB604.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
33E830D8521DF1D882E2B91CCF05E7238F3BBCD06085D86E46C811F42B68097B.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:32
3697E79F5137AAA58D8F6ADA33A078A0EAE68EC9C3EB26D1F09C3E721BABE209.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
3B6E9C351281A4903048BD663608710DCAA6FD1B0C0A79C26CD81D913F03E5AC.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
368485516D21C9966D7757E4C6C6F6C01B726CF2925370298195928704E4F5ED.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
413CB3A35E684FBC7698359B6089CBA570AC763A9294AEC94E8F9AE9037EF47E.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
41B1102FB009488B7656D71E43FA2A6BF155EF9908119B65F4532D89E76C672A.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
3BA18E1935D96166CBE0FE876930112D003BC8386CAE24A950DAB864C902CE79.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
4039EA81ABD6C11F86EA51079142F7C61C9D8A079A4A159AA667AC9B8472E381.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
42D56A889420DEB68E4DDDEE75DD9651A767E27964BF9D1A5D02487FB64BF021.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
41FF950F9A4FBB7C8A06AD2006B3C9C867670B14E64FC40A998B64B7DEDE9C1D.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
4543000D76CB29C9CFE0D3C83FA1AB6857A869906BF4A14F586AF0E129E5EE9E.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
45F6109D100A5292693326E30D8B4CA0351F425367F36FEE3239D52769A0F0A5.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
43A936ABFE5B4B7C8B3CC5959C5DFF521324D68C1714A1CE3FA7ADE15AE16F59.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
468B37431F8FF5AEEA3EF029B2927AF85748EEE98E8BBCC8422BF07E03BDCFEC.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:34
4605DFFBC92B08EB634A917FB9711EF1D1DB52B99338FE16021851C5C8D86157.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:33
492549354A3FAE88F781C5F3B0C7007C449A0899846B2AB3860639E973682684.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:34
47BDA8864763971C9CBAA195F406690156FE47BA3BCE1F9056FCF1A827DC1C8D.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:34
4D4CC681A54C104186044E79D27B2FAC0FB5E4290B5E6119A305B3F817D77741.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:34
4D95708B7FF1A1D67BB7B837E0653925658C8EF6BD6E5144567FD8EBC839247F.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:34
4D29F282A5361C8C0B7FB3C1405863ECA87C853D2C9F7373249D1888FF4F22C0.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:34
4E0C4C825FB2D38A1145660C786686EC997C6784A655D3AE926434B8BC8D799C.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:34
509BE062132A9691C5C86431DD56093DE5A2CFAFFAD2D360C6BA08DC4E9159B7.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:34
512DE1ADA79F9423BCBE1C07081DF004CC3E3E6941977B527FC8DD40E9701B3C.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:35
51DB5339B14B5710FBBECE2ECC4CD448CDDB154B62FA2377218CB8BAE60819CE.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:35
4DAACC3FB2542EA815A82F441B1563C64A7D4DC0CCC794FFB1C24A7AB783D349.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:34
52AB6A882595FB4A70F684F5D82DBBD456F355FCC4A0C2B50B8FFC6DF3DE27DD.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:35
524865ABD473360FB3CE5AAE2A914FFFADB9A243C603D9DE2457551C42AC260F.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:35
534472785AE717D3465717C2455335D0A939C0E638FA9E628767BF530FF4D282.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:35
530A1CD83EA45490B838E492E19779F6F2841CEF8671AF52788CDCCCD5DB5705.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:35
53BDCBF3075C6B67FF5438EBF1C32EB01A3A3DD8E7B7922D9F12EDDD053CC778.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:35
557CB02D5DAB0C36786D1092570FEBBE38C92A223A36620848CB980F905040B7.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:36
54CA8C2FF15756C3696CC3F4B5AB29F28A7077B5CA55AFAA31C7B3D34F7D5C27.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:35
55A6B0E94CACD7AD76AC58C1A31005C6CB8E264FA5E54D3EABB04112528DCA04.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:36
56F3737FEEE7177B63082F2504785B5913A3F441298B42FF1D521942878B408F.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:36
5614EC66E42B2868F86E84416135419E4FB9EB653E4B93A80972504BB918EC4A.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:36
57CC1722046465C1DF331EEAF01868AC53892D48805BA798D06A6609E4F14743.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:36
5901FF1CCF87FB90A37B59AF1A50D91FB8D3374E6DF57F556EBF13E2E3A97E23.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:36
59A6AC9E7A624E42624E39263BA8CD7E0C13043F571533ADB62DB30D087BA665.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:36
5BAE7CFADAB4C6F0001A77E21B691285BB0A79D9B690FF69CC8BA426D27F6A03.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:36
5A06A25EC1FAB02567FF1684140F1D382C2403C1CD661712C96529354A34AE99.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:36
5F87046476DBEC4E9C514283A5E1B032843D28F42D645B18D03DE0C6C4C89B4A.apk,False,False,,False,,False,,False,,False,,2025-10-19 17:11:37
